textID,text,selected_text,sentiment
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",dont like go,negative
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative
11084dac09, it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,negative
d8ba2a99a9, romance zero is funny,romance zero is funny,positive
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative
703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home","i lost all my friends, i`m alone and sleepy..",negative
2a9765b7f9,I give in to easily,I give in to easily,negative
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive
fa2654e730,Chilliin,Chilliin,positive
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,better,positive
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",BADDD.,negative
0a61cbf4b5,I am sooo tired,I am sooo tired,negative
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,lucky,positive
64ed512788,Sick. With a flu like thing.,Sick.,negative
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",negative
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),positive
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby,negative
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,cool,positive
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,positive
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,tired,negative
4c41a35a2a,Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,positive
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",freaked,negative
447dc22c81, hemp cloth is marvelous but unfortunately no,unfortunately,negative
92e1b6846e, We saw that in none 3D - the baddie`s the best,best,positive
2207d982bc,4am. And Im on the beach. Pretty,Pretty,positive
ebcdf07ac5,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!","horrible,",negative
fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,busy,negative
6b018d3d2d, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,Awesome.,positive
40649553ef, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,thanks,positive
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,safe,positive
a05aea73d7," woof, I wish I was allowed to go",I wish I was allowed to go,positive
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!","Thank you,",positive
a655fbb5eb,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",I love my,positive
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,I don`t feel confident,negative
401869d615,graduation is done  im a little sad.. anyone want to hang out???,sad.,negative
9843c4688e, hahaa your awesomee !,hahaa your awesomee !,positive
87fbf14655,holy smokes! star trek was freaking awesomeeeee,awesomeeeee,positive
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",Not looking forward,negative
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",Poor you,negative
f0460d611d,not well,not well,negative
6649f3558c, Not a prob hun,Not a prob,positive
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,y adore,positive
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",good,positive
974b35f889, =O you need to ask him something? Lmao I love him too,I love him too,positive
b495300bbf, those splinters look very painful...but you were being very heroic saving mr. Pickle,painful.,negative
504539e6ec, why are you sad?,sad?,negative
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,i wish,positive
cb1b0d191d,"missed all the awesome weather, because she was in a movie!","missed all the awesome weather,",negative
997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",terrible!,negative
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!","Unfortunatley,",negative
254546cd2c," What`s sad is that I actually had to google that term. That sucks, tho.","That sucks, tho.",negative
7e4ed52c4a,Hate fighting,Hate fighting,negative
48cdcd5f28,Car-warmed Sprite tastes like sore throat,Car-warmed Sprite tastes like sore throat,negative
ae71041e21,Candle wax is very enjoyable.,enjoyable.,positive
11c10e3fc5," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",endearing-,positive
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,goooooddd morning tweets!!,positive
fd285fe74a, me too. I hate my computer so much..,hate,negative
a5a1c996c0, fine! Going to do my big walk today 20 or so miles,fine!,positive
20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,i don`t like the other ones.,negative
5f93cc70ff,Bugger. forgot I still have washing in my machine,Bugger. forgot I still have washing in my machine,negative
4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace","sending love, blessings & healing thoughts to you & family  peace",positive
e4e9b8713a,My back hurts...really bad,.really bad,negative
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,brutal,negative
940eb93dd5, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,boring,negative
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,p sounds like fun,positive
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,great,positive
7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,excited,positive
f3d95b57b1, good morning,good morning,positive
5e4eac2b2e, its the best show EVER!,its the best show EVER!,positive
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,messed,negative
079e4e3472,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,NOT THE SECRET NAMEREBECCA PLEASE,negative
557e676fe4, I miss my neice  can`t wait to see her bad n grown ****! Lol,miss,negative
9d3a1e0269,really hopes her car`s illness is not terminal...,illness,negative
417176c08e,who watched X-men origins: wolverine? i totally loved it! haha,i totally loved it!,positive
2bf5c7dba7, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,i <3 you. u helped me thru the hrdest time of my life!,positive
8407ac30b0, I`m sad that I missed you guys last night!,sad,negative
24ee55f264,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,sick!,negative
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,oww,negative
9b11b686ec,happy 1 year! <3,happy 1 year! <3,positive
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",Goooooooooooood Morrrrrrrrning,positive
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative
38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,This diet is killing me,negative
f0db54f5bf,im soo bored...im deffo missing my music channels,bored..,negative
e651d415c6, nite nite bday girl  have fun at concert,e fun,positive
a6fccce9db,should be sleeping.  lost my voice a couple day ago.,lost my voice,negative
c017d0c221,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,hate,negative
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative
01b2476dd7,going to bed its late and I have headache,headache,negative
e02cf4af4c,happy mother`s day to all moms out there...,happy,positive
1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,going to have fun,positive
375e74d063," Haha I know, I cant handle the fame!  and thank you!",d thank you!,positive
e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,HAHAHA,positive
4f84bea1cc, We never miss ICarly - my son has a huge crush on Miranda,crush,positive
ca832cad51,Feeling smooth like chrome,Feeling smooth,positive
a8734230b6,Ew traffic,Ew traffic,negative
242d92151a,Walking to class. I hate not having a bike....especially mine.,I hate not having a bike..,negative
1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",This is worse than taxes.,negative
151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",JONAS BROTHERS - Live to party.                It`s rocking so hard,positive
7b1927e748,happy mother`s day to all the mothers in the world.,happy,positive
9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",would love to test it though.,positive
0cb4504f2c,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,Fun night!,positive
8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",I thought Wolverine was awesome.,positive
c7489a23fa,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",Hopefully,positive
ed084a1fa7,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,Happy,positive
85ec413e54, http://twitpic.com/4jaz5 - Cool... luv it,luv,positive
7df7221145,  that`s why I need to be there...To represent the Blackberries,that`s why I need to be there,positive
7436ec1a2c," yeah I was thinking about that ,ahaha",",ahaha",positive
ce69e99e71,I`m not sleeping at all until  accepts my appology,I`m not sleeping at all un,negative
6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??","Seriously,",negative
96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,died.,positive
c5645758be,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",not going to well!,negative
09ad12cc5c,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",hopefully,positive
799f65f193, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,g harmed,negative
d06582e26d,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,what an amazing day.,positive
97334eb7c0,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning","Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,were amazing tonight..,positive
2ece7f3810,  hope he is ok!,hope,positive
ba309a37d1,can`t school just be done already? it hurts too much... seeing him every day,it hurts too much...,positive
dabe649ee3,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",GREAT,positive
2a5bb8d827," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",Happy b-day!,positive
dbbbbe6059,"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",thank,positive
894e188d01,HAPPY MOTHERS DAY.!,HAPPY,positive
a91ca2ffae," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",glad,positive
89d5b3f0b5,  Thanks,Thanks,positive
1b6380b1b3,Getting ready for week  Its too nice today to be stuck inside working!,Its too nice,positive
02c004bc2d,I am tres depressed,depressed,negative
b4d5f1e13e,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",sick.,negative
80481307d5,Happy Mothers Day people. i love my mom a lot still,Happy Mothers Day people. i love my mom a lot still,positive
05a0e60f99, I`m sorry to hear that.,sorry,negative
e3cc598980," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",", he was soooo friendly.",positive
a2cf6cc397," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",happy,positive
ba83f744d8,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
e3a1b65ef3,Going to miss my roomie ... We will no longer be roomies starting tomorrow,miss,negative
73fa7068a2," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",chocked,negative
59e77db781,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,.it`s gorgeous out!,positive
e3731b6ce8, what`s goin on hun?  I`m worried about you,m worried,negative
b09362ee8e, Im not bannished... but I am at work till 6,Im not bannished.,negative
7b69f49c42,tonight in party w/ my girls (minus vita),tonight in party w/ my girls (minus vita),positive
294df18b9f," I saw the play of it here, it was amazing",amazing,positive
e5e2d9d1f3, _ i am glad to break my twitter virginity with you two.,glad,positive
b7a9ba95d0,Dinner with the fam... I have missed them,I have missed them,negative
a54d3c2825," I know   It was worth a shot, though!",as wort,positive
5b578d0b4c,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",better,positive
c4ab28566e,Ship. I`m stuck.,Ship. I`m stuck.,negative
162a2510d2,DUSTBIN BABY ON AT 11.30 Cannot wait  x,Cannot wait,positive
c25871ec9e," Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",shame,negative
1594011c6d,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,Definitely pinched a nerve.,negative
bb61a7094b,today is a busy day. exhausting!,exhausting!,negative
b5dd587dd2, Sorry to hear ur flight got cancelled  that blows!!!,Sorry,negative
e5160216a5,ohh my tooth is hurts ohh  im sad it very hurts,im sad it very hurts,negative
ea3320d696,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love","Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive
5680a0b488, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,I`m broke,negative
e9f7f78cfa,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,it was amazin,positive
4c71b5fb91,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,now a migraine.,negative
0404648e1c,?sucks!?..,?sucks!?..,negative
d723ea3299," doing pretty well, up and wide awake","doing pretty well,",positive
f1f5e8edfa,I Miss Daddy and Mommy,I Miss Daddy and Mommy,negative
51f4502988,"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",officially depressed,negative
c9091836ce,"My frist post... Off to find a new car for my parents, exciting!",exciting!,positive
9668542b2a,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,That sucks!,negative
cd5d081760,seriously bored without anyone to talk to... but not tired enough for sleep,bored,negative
061eb4c0de, I am lost. Please help me find a good home.,I am lost.,negative
7733e8541a,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,bad,negative
2f5c77dfb3, oh nice going!,oh nice going!,positive
a97db072ed,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,partying,positive
f3117413cc, i agree with you!,i agree with you!,positive
59cb0c3a14, I only do computers. Am hopeless at everything else,Am hopeless at everything else,negative
322b61740c,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",perfect ma,positive
7179c215a7,_2nd aww thanks!,thanks!,positive
1f581d48bc, Sorry RB is on PS3 for me,Sorry,negative
9191e574bb,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,stuck,negative
f4e428e4b3,dang last url went down  ? http://blip.fm/~7aigm,dang,negative
1ee0b44db0," ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",i missed all ur tweets,negative
4095d52d2d, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,Damnit all. That sucks.,negative
e8be898842,this is sooo crazy i have fever..,this is sooo crazy,negative
9b388b2cd9,is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,some stupid ****,negative
b94aaf845e,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,Please Re,positive
95d0ad2e17,aww  you loooove me,aww  you loooove me,positive
39923bb286,awesome lucky you,awesome lucky you,positive
c1b915d1d5," haha im jewish, i love that one",love,positive
c2a17084e9, l`m on 3 days too matt. No fun this weekend.,No fun,negative
356ad29589, I feel your pain. Mine is the same way,I feel your pain.,negative
81e6c0ac2d, Sadly no. It didn`t come with one...,Sadly,negative
12cfc10225,Cant wait to see my boy tomorrow,Cant wait,positive
81e29d1a0b, aww I miss driving down elmwood,aww I miss driving,negative
3773846bc3,Omg Wango Tango was **** AWSOME! I love my baby for taking me,Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive
6f3818a39e,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",its very cool,positive
2e6ee964a4,_30439 I really wish I could go!,wish,positive
12da1098a2, I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,that`s not good,negative
38e44e0f32,  This has made my night!!  Way too funny!!,This has made my night!!  Way too funny!,positive
b534d768ca,Woo CAVS.  Happy Mother`s Day!,Happy,positive
7e820f005a, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,Thanks,positive
a210eda5c9, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,sorry  friends,negative
5fcf7bd80c,"My sunburn is peeling,","My sunburn is peeling,",negative
bba9d463f4,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,I don`t have no one to cuddle with..,negative
54a62c239a,I hate the dentist,hate,negative
ebc8565a98," nothing aimed at you, just joining in...sorry",.sorry,negative
cf888f0df3,I`m taking a twitter break. Cell is dying,dying,negative
4c8d61cfd0,I wish I could get my nails done  stupid job,stupid job,negative
2c80b2043e, Have a good one,Have a good on,positive
1ecbc820d1," yep infact she is popular, miss india 99, talented film actress .... and lot more","she is popular,",positive
02e569bee0,Dosen`t Want To Go To Work Tomorrow,Dosen`t Want To,negative
f6f3b8b7a4,Daniel has won DSDS. His voice is great.,His voice is great.,positive
0ddd346323,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,lucky,positive
38a6cb940a,I sure do hope it becomes 4:20 this afternoon ...,I sure do hope,positive
a0f446e1bf, it means that you are now FAMOUS. Congrats!,Congrats!,positive
db0db7f325,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,passed away,negative
123fa2ef14,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",you are such amazing people!,positive
8ebbcfcfd1,tamlyn wishes she was as cool as my sock draw,cool,positive
301f7824f5,"Yes, I love tea. If that makes me typically English then so be it","Yes, I love tea.",positive
715e081e22, a mouth for sure,a mouth for sure,positive
e8f99c2de0, pancakes!! with lemon and sugar thanks!,thanks!,positive
b53d8f2b09," Si, no bueno  I guess I just don`t entertain him :/",s I just don`t entertain him :/,negative
71dddc0dff,I`m so hunrgy right now and these heels kill me I can hardly walk in them,kill me,negative
ca57a8830c,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,both electronic keys stopped working. there is no keyhole!,negative
0f0a1d8c75," Yay, three followers! Good to know more than one person in this big wide world likes fishies.",Good,positive
187745f502,'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,poor tony,negative
a78ef3e0d0,Goodmorning,Goodmorning,positive
5010f92b03,Took a shift tomorrow.    I don`t really feel like working right now.,I don`t really feel like,negative
1a88179ebb," I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .","I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too",positive
45b0430eb9,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,best,positive
86462cc997,No waterfront anymore   faccia luna and clarendon will have to do,No waterfront anymore,negative
b499204c32,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive
60d0bb5840,Slipped up and caught the flu  feeling like poop!,feeling like poop!,negative
a52203dd88,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",excited,positive
e8770f1c78,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,then you cry ...,negative
641db1b766,Morning tweeple,Morning tweeple,positive
4a704b77f2, Now you only have 2 hours to sleep...  - Rest if you need it.,- Rest if you need it.,positive
8a4740ee53,I don`t want to sit at home on prom night. Someone hang out with me,I don`t want to sit at home,negative
d66f920dbd,Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,wishing,positive
f2f7763cfd, lol dammit  well then next time then,dammit,negative
2abfe0decb, lol. just don`t ever forget me,lol.,positive
7a7228dc2e, Still jealous,Still jealous,negative
754ebd84b4,http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,Me at Forever 21  Ethan couldn`t be there,negative
fba4c01756,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,SAD,negative
0888304834,this week of mine was not easy!  but finally it`s over! (:,not easy!,negative
88d8e96213,   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,Wow what a beautiful pictur,positive
38b762e325,In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,Looks good,positive
697887b4a1, you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,a nice,positive
1a1c392802,cooking with my dad  having lots of fun in the kitchen together,having lots of fun,positive
95b9338e05,Bouncing Rush makes me feel nauseous,Bouncing Rush makes me feel nauseous,negative
b0b24ed515,Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,Lovely day for it,positive
d31f708485,playing singstar without my fave duetter,playing singstar without my fave duetter,negative
200f31449b,"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",i like,positive
3aae3dab5c," That`s just weird... :\  Oh, and what was it you were drawing for me?",That`s just weird... :\,negative
8415e9b138,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,im a good daughter,positive
7a4a97fba9,"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",That`s NOT cool,negative
e3a441b9eb,"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",alwas helps.,positive
32ffcb07c4,"My Street Fighter IV skills are lacking, can`t beat Seth on easy.","lacking,",negative
0ef15a1349, FIL 461 with cool people like me,cool,positive
2a98bd4240,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,Good,positive
3c8e8d1940,my son got stung by a bug for the first time  his little finger is slightly swollen.,swollen.,negative
02e6423e39,Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,Don`t act like u don`t know.,negative
9c2b1313af,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,best,positive
51c2d21362,Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,! I`m scared of him,negative
16370c0a2e,I`m missing crab legs and attending my going away instead!,missing,negative
edeeaa9756,Hicks are mean!,mean!,negative
feec8aa27b,"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad","not doing so good,",negative
e6c988afb8,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",Missing,negative
df9882c24d," And most of us are going to be stuck in an office, some without windows",stuck,negative
22a8a4639e, No it`s not sad. Should make you proud,sad.,negative
ee9df322d1,"   Sorry, we`ll try to keep it down.",Sorr,negative
7082999a93,"According to , a quarter of families under six live in poverty.",live in poverty.,negative
cf29e364fe,the plan to not spend money is not going well,not going well,negative
912bbdea65, congratulations ! you guys finish a month early than we do. booo,congratulations,positive
060d8bb5d5," actually, I wish I was back in Tahoe.  I miss it there.",I miss it there,negative
18f60b8879, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,wack.,negative
7311789bcc,workin a long day today... hopefully i can make some good tips,hopefully i can make some good tips,positive
726e099885, but it all went too quick and there wasn`t a chance lol,d there wasn`t a chance,negative
